"stageType" "stageId" "zoneId" "code" "apCost" "30073" "30083" "30093" "30103" "30011" "30061" "30031" "30021" "30041" "30051" "realCost" "margin"
"1" "MAIN" "main_00-01" "main_0" "0-1" 6 0 0 0 0 0.0916030534351145 0.00763358778625954 0.0152671755725191 0.0305343511450382 0.0229007633587786 0.0229007633587786 6.18471749239986 0.0307862487333102
"2" "MAIN" "main_00-02" "main_0" "0-2" 6 0 0 0 0 0 0 0 0.0909090909090909 0.0909090909090909 0 6.22609604170433 0.0376826736173883
"3" "MAIN" "main_00-03" "main_0" "0-3" 6 0 0 0 0 0 0.142857142857143 0.0357142857142857 0 0 0 6.27705248136281 0.0461754135604684
"4" "MAIN" "main_00-04" "main_0" "0-4" 6 0 0 0 0 0 0 0 0 0 0 6 0
"5" "MAIN" "main_00-05" "main_0" "0-5" 6 0 0 0 0 0 0 0 0.125 0 0 6.13150029595402 0.021916715992336
"6" "MAIN" "main_00-06" "main_0" "0-6" 6 0 0 0 0 0 0 0.111111111111111 0 0 0 6.10330903831863 0.0172181730531045
"7" "MAIN" "main_00-07" "main_0" "0-7" 6 0 0 0 0 0.0298507462686567 0.00746268656716418 0.0223880597014925 1.11194029850746 0.0149253731343284 0.0223880597014925 7.27335364479556 0.212225607465927
"8" "MAIN" "main_00-08" "main_0" "0-8" 6 0 0 0 0 0 0 0 0 0 0 6 0
"9" "MAIN" "main_00-09" "main_0" "0-9" 6 0 0 0 0 1.60810810810811 0.0135135135135135 0.0135135135135135 0.0405405405405405 0.027027027027027 0.027027027027027 7.27692811825841 0.212821353043068
"10" "MAIN" "main_00-10" "main_0" "0-10" 6 0 0 0 0 0 0 0.0625 0.0625 0 0 6.12386148203124 0.0206435803385392
"11" "MAIN" "main_00-11" "main_0" "0-11" 6 0 0 0 0 0.0649350649350649 0.012987012987013 1.12987012987013 0.012987012987013 0.012987012987013 0 7.15048378616132 0.191747297693553
"12" "MAIN" "main_01-01" "main_1" "1-1" 6 0 0 0 0 0.175438596491228 0.0526315789473684 0.0350877192982456 0.105263157894737 0.0526315789473684 0.0701754385964912 6.51846543986201 0.0864109066436685
"14" "MAIN" "main_01-03" "main_1" "1-3" 6 0 0 0 0 0.0143884892086331 0.0143884892086331 0.00719424460431655 0.00719424460431655 0.784172661870504 0.0431654676258993 7.22764813823468 0.204608023039113
"15" "MAIN" "main_01-04" "main_1" "1-4" 6 0 0 0 0 0.0219298245614035 0.0087719298245614 0.0131578947368421 0.0219298245614035 0.0263157894736842 0.0219298245614035 6.13054325189437 0.0217572086490619
"16" "MAIN" "main_01-05" "main_1" "1-5" 6 0 0 0 0 0.02 0.68 0.03 0.03 0 0.01 7.24654576000383 0.207757626667305
"17" "MAIN" "main_01-06" "main_1" "1-6" 6 0 0 0 0 0.0512820512820513 0 0 0.0256410256410256 0.0256410256410256 0.717948717948718 6.98823087059498 0.164705145099163
"18" "MAIN" "main_01-07" "main_1" "1-7" 6 0 0 0 0 3.85263979539302 0.0339046385332071 0.0594971185624367 0.0570391775862355 0.0461030010130703 0.0460365701758756 8.99494979035167 0.499158298391944
"19" "MAIN" "main_01-08" "main_1" "1-8" 9 0 0 0 0 0.130208333333333 0.0329861111111111 2.58333333333333 0.0694444444444444 0.0572916666666667 0.0486111111111111 11.7648793561982 0.30720881735536
"20" "MAIN" "main_01-09" "main_1" "1-9" 9 0 0 0 0 0.1 0 0.125 0.1 0.025 0 9.32734517792689 0.0363716864363206
"21" "MAIN" "main_01-10" "main_1" "1-10" 9 0 0 0 0 0.136363636363636 0.0454545454545455 0.0909090909090909 0.0227272727272727 0.0454545454545455 0.0454545454545455 9.40302390012269 0.0447804333469658
"23" "MAIN" "main_01-12" "main_1" "1-12" 9 0 0 0 0 0.12597911227154 1.57441253263708 0.0724543080939948 0.054177545691906 0.0496083550913838 0.0607049608355091 12.0463238701453 0.338480430016139
"24" "MAIN" "main_02-01" "main_2" "2-1" 9 0 0 0 0 0.139676113360324 0.0263157894736842 0.0668016194331984 0.0647773279352227 1.97165991902834 0.0587044534412955 12.1751049674519 0.352789440827984
"25" "MAIN" "main_02-02" "main_2" "2-2" 9 0 0 0 0 0.116161616161616 0.0353535353535354 0.0656565656565657 2.43434343434343 0.053030303030303 0.0656565656565657 11.9210519646908 0.324561329410094
"26" "MAIN" "main_02-03" "main_2" "2-3" 12 0 0 0 0 0.513432835820895 1.47761194029851 0.262686567164179 0 0 0 15.1260482047168 0.260504017059733
"27" "MAIN" "main_02-04" "main_2" "2-4" 12 0 0 0 0 6.82578343158548 0.197486813527769 0.324387216878684 0 0 0 17.4198866309892 0.4516572192491
"28" "MAIN" "main_02-05" "main_2" "2-5" 12 0 0 0 0 0 0 0 4.80206847360913 0.256597717546362 0.248038516405136 17.7269935053069 0.477249458775578
"29" "MAIN" "main_02-06" "main_2" "2-6" 12 0 0 0 0 0.490658001624695 0.19198483617655 4.67763336041159 0 0 0 17.0205652986805 0.418380441556709
"30" "MAIN" "main_02-07" "main_2" "2-7" 12 0 0 0 0 0 0 0 0.357142857142857 0.196428571428571 0.303571428571429 13.0333032399739 0.0861086033311561
"31" "MAIN" "main_02-08" "main_2" "2-8" 12 0 0 0 0 0 0 0 0.322932917316693 2.95059802392096 0.268850754030161 16.9067258518291 0.408893820985759
"32" "MAIN" "main_02-09" "main_2" "2-9" 12 0.260171919770774 0 0 0 0.508595988538682 0.196275071633238 0.324928366762178 0 0 0 16.3245542987146 0.360379524892879
"33" "MAIN" "main_02-10" "main_2" "2-10" 15 0 0 0 0.28030113967224 0 0 0 0.544505448797937 0.430829381914982 0.425006239081607 22.3961619862725 0.493077465751499
"34" "MAIN" "sub_02-01" "main_2" "S2-1" 9 0 0 0 0 0.116625310173697 0.0421836228287841 0.0645161290322581 0.0719602977667494 0.0620347394540943 2.09429280397022 11.9703208395297 0.330035648836632
"35" "MAIN" "sub_02-02" "main_2" "S2-2" 9 0 0 0 0 0.0625 0.0625 0.125 0 0 0 9.26668399567696 0.0296315550752178
"36" "MAIN" "sub_02-03" "main_2" "S2-3" 9 0 0 0 0 0.375 0 0.125 0 0 0.125 9.53359589369715 0.0592884326330171
"37" "MAIN" "sub_02-04" "main_2" "S2-4" 9 0 0 0 0 0.161904761904762 0.0476190476190476 0.0857142857142857 0.0857142857142857 0.0952380952380952 0.019047619047619 9.52480216557326 0.0583113517303623
"38" "MAIN" "sub_02-05" "main_2" "S2-5" 12 0 0 0 0 3.6722972972973 0.236486486486486 0.341216216216216 0 0 0 15.293214922344 0.274434576862
"39" "MAIN" "sub_02-06" "main_2" "S2-6" 12 0 0 0 0 0 0 0 2.528 0.226666666666667 0.218666666666667 15.2553645683574 0.271280380696449
"40" "MAIN" "sub_02-07" "main_2" "S2-7" 12 0 0 0 0 0.438438438438438 0.195195195195195 2.57357357357357 0 0 0 15.0331519190764 0.252762659923035
"41" "MAIN" "sub_02-08" "main_2" "S2-8" 12 0 0 0 0 0 0 0 0.317543859649123 1.96666666666667 0.263157894736842 15.482016301562 0.290168025130167
"42" "MAIN" "sub_02-09" "main_2" "S2-9" 12 0 0 0 0 0 0 0 0.34051724137931 0.211206896551724 1.97413793103448 15.1045275197588 0.258710626646571
"43" "MAIN" "sub_02-10" "main_2" "S2-10" 12 0 0 0 0 0.34375 0.171875 0.234375 0 0 0 12.7520775798528 0.0626731316543983
"44" "MAIN" "sub_02-11" "main_2" "S2-11" 12 0 0 0 0 0 0 0 0.301204819277108 0.289156626506024 0.337349397590361 13.149329957307 0.0957774964422541
"45" "MAIN" "sub_02-12" "main_2" "S2-12" 15 0 0 0 0 6.9493769470405 0.349299065420561 0.567367601246106 0 0 0 20.9915091531485 0.399433943543232
"46" "MAIN" "main_03-01" "main_3" "3-1" 15 0 0 0 0 0 0 0 0.533845954468876 0.4293921983671 4.78880297205063 22.1044699762848 0.473631331752317
"47" "MAIN" "main_03-02" "main_3" "3-2" 15 0 0.376955849639935 0 0 0.830185122346643 0.340534630320854 0.545790446027976 0 0 0 22.0794926437061 0.471966176247076
"48" "MAIN" "main_03-03" "main_3" "3-3" 15 0 0 0.320088503733751 0 0.820134599428413 0.336406379644141 0.561998709320549 0 0 0 22.4435299057848 0.496235327052318
"49" "MAIN" "main_03-04" "main_3" "3-4" 15 0 0 0 0 0.837447089219944 3.64696828101809 0.552855807817052 0 0 0 22.3257230548761 0.488381536991739
"50" "MAIN" "main_03-05" "main_3" "3-5" 15 0 0 0 0 0.828947368421053 0.368421052631579 0.473684210526316 0 0 0 16.6499325715525 0.109995504770168
"51" "MAIN" "main_03-06" "main_3" "3-6" 15 0 0 0 0 0 0 0 0.490909090909091 0.4 0.672727272727273 16.9230319389459 0.128202129263061
"52" "MAIN" "main_03-07" "main_3" "3-7" 15 0 0 0 0 0 0 0 0.524019607843137 0.437254901960784 3.80441176470588 20.8871254294308 0.392475028628718
"53" "MAIN" "main_03-08" "main_3" "3-8" 18 0.0371575522200063 0 0.0113362023722053 0.00955180014695077 0 0 6.31720373674819 0 0 1.23134250026241 26.271248893414 0.459513827411891
"54" "SUB" "sub_03-1-1" "main_3" "S3-1" 15 0 0 0 0 0 0 0 4.67401021711367 0.416347381864623 0.417305236270754 21.0310112029558 0.402067413530386
"55" "SUB" "sub_03-1-2" "main_3" "S3-2" 15 0 0 0 0 0.81335952848723 0.369842829076621 4.68516699410609 0 0 0 20.5571989134858 0.370479927565719
"56" "SUB" "sub_03-2-1" "main_3" "S3-3" 15 0 0 0 0 0 0 0 0.530162230272484 3.76059221924713 0.419593636793196 21.4736776884778 0.431578512565187
"57" "SUB" "sub_03-2-2" "main_3" "S3-4" 15 0 0 0 0 0.808664259927798 2.80406957663275 0.56711519527404 0 0 0 20.8800575991449 0.392003839942991
"58" "SUB" "sub_03-2-3" "main_3" "S3-5" 15 0 0 0 0 0 0 0 0.741573033707865 0.325842696629214 0.640449438202247 17.0403639465762 0.136024263105078
"59" "MAIN" "main_04-01" "main_4" "4-1" 18 0.046218487394958 0 0 0 2.02521008403361 0.621848739495798 0 0 0 0 21.0717923270379 0.170655129279883
"60" "MAIN" "main_04-02" "main_4" "4-2" 18 0 0.0573947762435535 0 0 0 0 0 6.44568291465646 1.27308268175012 0 27.4314211194688 0.523967839970491
"61" "MAIN" "main_04-03" "main_4" "4-3" 18 0.0266666666666667 0 0 0 2.01333333333333 0.706666666666667 0 0 0 0 20.9579149564263 0.164328608690348
"62" "MAIN" "main_04-04" "main_4" "4-4" 18 0.4208908929033 0 0 0.0507768746948505 1.54099773112381 0.639306125965708 0 0.609322496338206 0 0 27.2293970892586 0.512744282736591
