"stageType" "stageId" "zoneId" "code" "apCost" "30073" "30083" "30093" "30103" "30011" "30061" "30031" "30021" "30041" "30051" "realCost" "margin"
"9" "MAIN" "main_00-09" "main_0" "0-9" 6 0 0 0 0 1.60810810810811 0.0135135135135135 0.0135135135135135 0.0405405405405405 0.027027027027027 0.027027027027027 7.86587699216487 0.310979498694144
"18" "MAIN" "main_01-07" "main_1" "1-7" 6 0 0 0 0 3.85263979539302 0.0339046385332071 0.0594971185624367 0.0570391775862355 0.0461030010130703 0.0460365701758756 10.3833346765859 0.730555779430984
"19" "MAIN" "main_01-08" "main_1" "1-8" 9 0 0 0 0 0.130208333333333 0.0329861111111111 2.58333333333333 0.0694444444444444 0.0572916666666667 0.0486111111111111 13.0127757024137 0.445863966934861
"23" "MAIN" "main_01-12" "main_1" "1-12" 9 0 0 0 0 0.12597911227154 1.57441253263708 0.0724543080939948 0.054177545691906 0.0496083550913838 0.0607049608355091 13.3826594668985 0.486962162988726
"24" "MAIN" "main_02-01" "main_2" "2-1" 9 0 0 0 0 0.139676113360324 0.0263157894736842 0.0668016194331984 0.0647773279352227 1.97165991902834 0.0587044534412955 13.2528117350455 0.472534637227279
"25" "MAIN" "main_02-02" "main_2" "2-2" 9 0 0 0 0 0.116161616161616 0.0353535353535354 0.0656565656565657 2.43434343434343 0.053030303030303 0.0656565656565657 13.020002828925 0.446666980991663
"26" "MAIN" "main_02-03" "main_2" "2-3" 12 0 0 0 0 0.513432835820895 1.47761194029851 0.262686567164179 0 0 0 16.5178867999195 0.376490566659957
"27" "MAIN" "main_02-04" "main_2" "2-4" 12 0 0 0 0 6.82578343158548 0.197486813527769 0.324387216878684 0 0 0 19.9507348442915 0.662561237024291
"28" "MAIN" "main_02-05" "main_2" "2-5" 12 0 0 0 0 0 0 0 4.80206847360913 0.256597717546362 0.248038516405136 19.8529250549341 0.654410421244509
"29" "MAIN" "main_02-06" "main_2" "2-6" 12 0 0 0 0 0.490658001624695 0.19198483617655 4.67763336041159 0 0 0 19.3143226470319 0.609526887252656
"31" "MAIN" "main_02-08" "main_2" "2-8" 12 0 0 0 0 0 0 0 0.322932917316693 2.95059802392096 0.268850754030161 18.5726810146553 0.547723417887944
"32" "MAIN" "main_02-09" "main_2" "2-9" 12 0.260171919770774 0 0 0 0.508595988538682 0.196275071633238 0.324928366762178 0 0 0 18.5355470153389 0.544628917944912
"33" "MAIN" "main_02-10" "main_2" "2-10" 15 0 0 0 0.28030113967224 0 0 0 0.544505448797937 0.430829381914982 0.425006239081607 25.2020074102814 0.68013382735209
"34" "MAIN" "sub_02-01" "main_2" "S2-1" 9 0 0 0 0 0.116625310173697 0.0421836228287841 0.0645161290322581 0.0719602977667494 0.0620347394540943 2.09429280397022 13.356782632661 0.484086959184552
"38" "MAIN" "sub_02-05" "main_2" "S2-5" 12 0 0 0 0 3.6722972972973 0.236486486486486 0.341216216216216 0 0 0 16.8236239188235 0.401968659901962
"39" "MAIN" "sub_02-06" "main_2" "S2-6" 12 0 0 0 0 0 0 0 2.528 0.226666666666667 0.218666666666667 16.4692789688477 0.372439914070645
"40" "MAIN" "sub_02-07" "main_2" "S2-7" 12 0 0 0 0 0.438438438438438 0.195195195195195 2.57357357357357 0 0 0 16.4179158153213 0.368159651276775
"41" "MAIN" "sub_02-08" "main_2" "S2-8" 12 0 0 0 0 0 0 0 0.317543859649123 1.96666666666667 0.263157894736842 16.681438767849 0.390119897320752
"42" "MAIN" "sub_02-09" "main_2" "S2-9" 12 0 0 0 0 0 0 0 0.34051724137931 0.211206896551724 1.97413793103448 16.4967227445143 0.374726895376193
